0,1,2,3,4,5,6,7,8,9
"(0, 0)","(1, 1)","(1, 5)","(5, 1)","(0, 3)","(3, 0)","(1, 15)","(15, 1)","(3, 3)","(1, 18)"
"(0, 1)","(1, 0)","(1, 3)","(3, 1)","(5, 0)","(0, 5)","(1, 7)","(1, 6)","(1, 11)","(5, 3)"
"(1, 0)","(0, 1)","(3, 1)","(1, 3)","(7, 1)","(0, 5)","(13, 1)","(6, 1)","(12, 1)","(3, 5)"
"(0, 2)","(1, 4)","(1, 5)","(1, 1)","(1, 9)","(1, 12)","(5, 4)","(1, 10)","(0, 6)","(3, 2)"
"(2, 0)","(4, 1)","(5, 1)","(9, 1)","(1, 1)","(4, 5)","(11, 1)","(2, 3)","(6, 0)","(4, 15)"
"(0, 3)","(1, 1)","(3, 0)","(1, 5)","(3, 3)","(0, 0)","(1, 4)","(5, 1)","(1, 9)","(1, 15)"
"(3, 0)","(1, 1)","(0, 3)","(3, 3)","(5, 1)","(0, 0)","(1, 5)","(4, 1)","(9, 1)","(7, 0)"
"(3, 0)","(1, 1)","(0, 3)","(3, 3)","(5, 1)","(0, 0)","(1, 5)","(4, 1)","(9, 1)","(0, 6)"
"(0, 4)","(1, 2)","(1, 6)","(1, 3)","(1, 7)","(3, 4)","(1, 8)","(0, 5)","(1, 13)","(0, 9)"
"(2, 1)","(4, 0)","(4, 3)","(6, 1)","(5, 0)","(7, 1)","(3, 1)","(9, 0)","(8, 1)","(9, 3)"
"(4, 0)","(2, 1)","(6, 1)","(4, 3)","(3, 1)","(7, 1)","(8, 1)","(5, 0)","(12, 1)","(1, 2)"
"(1, 2)","(0, 4)","(3, 4)","(0, 5)","(1, 6)","(1, 3)","(1, 7)","(3, 5)","(0, 9)","(3, 1)"
"(0, 5)","(1, 3)","(3, 1)","(1, 7)","(1, 6)","(5, 0)","(1, 2)","(3, 5)","(0, 1)","(1, 11)"
"(2, 2)","(4, 4)","(4, 5)","(4, 1)","(4, 9)","(5, 4)","(9, 4)","(1, 4)","(4, 12)","(11, 4)"
"(5, 0)","(1, 3)","(3, 1)","(0, 5)","(3, 5)","(5, 3)","(7, 1)","(0, 1)","(1, 0)","(6, 1)"
"(5, 0)","(1, 3)","(0, 5)","(3, 1)","(3, 5)","(7, 1)","(0, 1)","(6, 1)","(0, 4)","(0, 9)"
"(3, 1)","(1, 3)","(5, 0)","(0, 5)","(5, 3)","(1, 0)","(3, 5)","(7, 1)","(0, 1)","(6, 1)"
"(0, 6)","(1, 4)","(1, 5)","(3, 2)","(1, 10)","(1, 9)","(3, 6)","(1, 12)","(0, 7)","(0, 2)"
"(2, 3)","(4, 1)","(6, 0)","(4, 5)","(6, 3)","(5, 1)","(7, 0)","(9, 1)","(2, 0)","(4, 4)"
"(6, 0)","(2, 3)","(4, 1)","(5, 1)","(9, 1)","(10, 1)","(6, 3)","(4, 5)","(7, 0)","(2, 0)"
"(1, 4)","(3, 2)","(0, 6)","(0, 7)","(3, 6)","(5, 4)","(0, 2)","(3, 3)","(0, 8)","(3, 7)"
"(4, 1)","(6, 0)","(2, 3)","(7, 0)","(6, 3)","(5, 1)","(2, 0)","(3, 3)","(8, 0)","(7, 3)"
"(3, 2)","(1, 4)","(0, 6)","(0, 7)","(5, 4)","(1, 5)","(3, 6)","(3, 3)","(0, 2)","(0, 8)"
"(0, 7)","(1, 5)","(1, 4)","(1, 9)","(3, 3)","(3, 2)","(0, 6)","(1, 12)","(0, 8)","(1, 10)"
"(2, 4)","(4, 2)","(4, 6)","(4, 3)","(4, 7)","(6, 4)","(4, 8)","(5, 2)","(7, 4)","(2, 5)"
"(1, 5)","(7, 0)","(3, 3)","(5, 1)","(0, 7)","(0, 8)","(0, 6)","(3, 7)","(3, 6)","(0, 3)"
"(7, 0)","(1, 5)","(5, 1)","(3, 3)","(0, 7)","(0, 8)","(9, 1)","(4, 1)","(0, 6)","(3, 7)"
"(4, 2)","(2, 4)","(6, 4)","(2, 5)","(3, 4)","(4, 6)","(7, 4)","(4, 3)","(4, 7)","(8, 4)"
"(0, 8)","(1, 5)","(3, 3)","(7, 0)","(5, 1)","(1, 10)","(1, 4)","(0, 7)","(1, 9)","(1, 12)"
